Date,Spend,Impressions,CPM,Clicks,CPC,CTR,Acquisitions,CPA,CR,Age,Gender,Targeting,Image,Copy,Bid Type,Placement
6/30/15,0.01,1,10,0,0,0,0,0,0,18-24,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/29/15,12.35,3734,3.307445099,9,1.372222222,0.002410284,0,0,0,45-54,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/29/15,25.44,5570,4.567324955,3,8.48,0.0005386,4,6.36,1.333333333,35-44,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/29/15,9.74,2132,4.5684803,2,4.87,0.000938086,0,0,0,45-54,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/29/15,47.63,10401,4.579367369,1,47.63,9.61E-05,0,0,0,25-34,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/29/15,17.79,3945,4.509505703,2,8.895,0.000506971,0,0,0,18-24,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/29/15,12.45,2395,5.198329854,1,12.45,0.000417537,1,12.45,1,18-24,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/29/15,36.83,7077,5.204182563,0, ,0,3,12.27666667,0,25-34,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/29/15,10.16,1957,5.191619826,1,10.16,0.000510986,0,0,0,45-54,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/29/15,0.09,6,15,0,0,0,0,0,0,65+,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/29/15,2.42,903,2.679955703,4,0.605,0.004429679,0,0,0,65+,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/29/15,31.72,11529,2.751322751,32,0.99125,0.002775609,2,15.86,0.0625,35-44,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/29/15,41.64,15050,2.766777409,32,1.30125,0.002126246,0,0,0,25-34,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/29/15,14.61,5428,2.691599116,17,0.859411765,0.003131909,0,0,0,18-24,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/29/15,7.46,2695,2.768089054,7,1.065714286,0.002597403,0,0,0,45-54,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/29/15,0.07,20,3.5,0,0,0,0,0,0,45-54,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/29/15,2.52,919,2.74211099,6,0.42,0.006528836,0,0,0,55-64,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/29/15,0.2,59,3.389830508,0,0,0,0,0,0,18-24,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/29/15,0.28,71,3.943661972,0,0,0,0,0,0,25-34,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/29/15,0.19,50,3.8,0,0,0,1,0.19,0,35-44,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/29/15,24.25,4681,5.180516984,0,0,0,1,24.25,0,35-44,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/29/15,0.08,37,2.162162162,0,0,0,0,0,0,45-54,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/29/15,41.4,12518,3.307237578,35,1.182857143,0.002795974,1,41.4,0.028571429,25-34,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/29/15,11.34,3471,3.267070009,9,1.26,0.002592913,1,11.34,0.111111111,18-24,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/29/15,0.23,18,12.77777778,0,0,0,0,0,0,18-24,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/29/15,0.77,46,16.73913043,0,0,0,0,0,0,25-34,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/29/15,35.11,10654,3.295475878,23,1.526521739,0.002158814,0,0,0,35-44,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/29/15,0.45,190,2.368421053,0,0,0,0,0,0,35-44,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/29/15,0.7,29,24.13793103,0,0,0,0,0,0,35-44,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/29/15,1,433,2.309468822,0,0,0,0,0,0,25-34,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/29/15,0.13,8,16.25,0,0,0,0,0,0,55-64,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/29/15,0.48,19,25.26315789,0,0,0,0,0,0,45-54,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/28/15,10.6,3342,3.171753441,11,0.963636364,0.003291442,0,0,0,18-24,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/28/15,0.19,4,47.5,0,0,0,0,0,0,65+,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/28/15,3.11,1139,2.73046532,3,1.036666667,0.002633889,0,0,0,55-64,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/28/15,0.59,12,49.16666667,0,0,0,0,0,0,55-64,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/28/15,0.11,30,3.666666667,0,0,0,0,0,0,35-44,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/28/15,0.15,43,3.488372093,0,0,0,0,0,0,18-24,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/28/15,1.92,819,2.344322344,2,0.96,0.002442002,1,1.92,0.5,25-34,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/28/15,0.74,313,2.364217252,0,0,0,0,0,0,35-44,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/28/15,0.17,71,2.394366197,1,0.17,0.014084507,0,0,0,45-54,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/28/15,0.14,36,3.888888889,0,0,0,0,0,0,25-34,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/28/15,0.09,23,3.913043478,0,0,0,0,0,0,45-54,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/28/15,39.91,12644,3.156437836,34,1.173823529,0.002689022,1,39.91,0.029411765,25-34,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/28/15,33.71,10759,3.133190817,18,1.872777778,0.001673018,0,0,0,35-44,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/28/15,17.88,3175,5.631496063,2,8.94,0.000629921,1,17.88,0.5,25-34,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/28/15,12.57,2222,5.657065707,2,6.285,0.00090009,0,0,0,35-44,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/28/15,7.39,1305,5.662835249,0,0,0,0,0,0,45-54,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/28/15,8.53,1534,5.560625815,0,0,0,0,0,0,18-24,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/28/15,0.19,15,12.66666667,0,0,0,0,0,0,18-24,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/28/15,0.49,20,24.5,0,0,0,0,0,0,45-54,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/28/15,0.78,21,37.14285714,1,0.78,0.047619048,0,0,0,35-44,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/28/15,0.53,17,31.17647059,0,0,0,0,0,0,25-34,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/28/15,3,1131,2.652519894,0,0,0,1,3,0,65+,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/28/15,13.42,4256,3.153195489,9,1.491111111,0.002114662,0,0,0,45-54,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/28/15,31.89,5301,6.015846067,3,10.63,0.000565931,2,15.945,0.666666667,25-34,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/28/15,24.87,4129,6.023250182,1,24.87,0.000242189,0,0,0,35-44,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/28/15,13.9,2299,6.046107003,3,4.633333333,0.001304915,0,0,0,45-54,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/28/15,16.21,2780,5.830935252,1,16.21,0.000359712,0,0,0,18-24,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/28/15,14.79,5572,2.654343144,14,1.056428571,0.002512563,0,0,0,18-24,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/28/15,28.18,10365,2.718765075,31,0.909032258,0.002990835,2,14.09,0.064516129,35-44,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/28/15,7.49,2744,2.729591837,5,1.498,0.001822157,0,0,0,45-54,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/28/15,39.75,14540,2.733837689,23,1.72826087,0.001581843,0,0,0,25-34,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/27/15,9.16,307,29.83713355,1,9.16,0.003257329,0,0,0,45-54,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/27/15,2.84,179,15.86592179,0,0,0,0,0,0,18-24,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/27/15,4.62,145,31.86206897,1,4.62,0.006896552,0,0,0,55-64,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/27/15,7.68,322,23.85093168,0,0,0,1,7.68,0,35-44,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/27/15,7.9,401,19.70074813,0,0,0,0,0,0,25-34,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/27/15,0.06,17,3.529411765,0,0,0,0,0,0,18-24,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/27/15,1.71,609,2.807881773,2,0.855,0.003284072,0,0,0,65+,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/27/15,9.11,2825,3.224778761,8,1.13875,0.002831858,0,0,0,45-54,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/27/15,6.49,1187,5.467565291,1,6.49,0.00084246,0,0,0,18-24,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/27/15,13.24,2370,5.58649789,0,0,0,1,13.24,0,25-34,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/27/15,10.05,1787,5.623950755,1,10.05,0.000559597,0,0,0,35-44,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/27/15,23.63,7399,3.193674821,16,1.476875,0.002162454,0,0,0,35-44,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/27/15,30.39,9518,3.192897668,18,1.688333333,0.001891154,1,30.39,0.055555556,25-34,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/27/15,0.38,152,2.5,1,0.38,0.006578947,0,0,0,25-34,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/27/15,0.13,57,2.280701754,0,0,0,0,0,0,35-44,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/27/15,0.03,14,2.142857143,0,0,0,0,0,0,45-54,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/27/15,7.39,2338,3.160821215,12,0.615833333,0.005132592,0,0,0,18-24,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/27/15,5.38,978,5.501022495,0,0,0,0,0,0,45-54,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/27/15,11.38,1942,5.859938208,0,0,0,0,0,0,18-24,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/27/15,27.45,9276,2.959249677,13,2.111538462,0.001401466,0,0,0,25-34,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/27/15,20.56,6893,2.982736109,15,1.370666667,0.002176121,0,0,0,35-44,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/27/15,6.05,1989,3.041729512,5,1.21,0.002513826,0,0,0,45-54,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/27/15,1.8,609,2.955665025,3,0.6,0.004926108,0,0,0,55-64,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/27/15,11.38,3978,2.860734037,13,0.875384615,0.003267974,0,0,0,18-24,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/27/15,0.04,10,4,0,0,0,0,0,0,45-54,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/27/15,21.56,3555,6.064697609,2,10.78,0.000562588,0,0,0,25-34,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/27/15,16.19,2681,6.038791496,0,0,0,0,0,0,35-44,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/27/15,9.02,1493,6.041527127,2,4.51,0.001339585,0,0,0,45-54,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/27/15,0.05,13,3.846153846,0,0,0,0,0,0,35-44,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/27/15,0.13,31,4.193548387,0,0,0,0,0,0,25-34,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/27/15,1.87,65,28.76923077,1,1.87,0.015384615,0,0,0,65+,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/26/15,0.74,13,56.92307692,0,0,0,0,0,0,65+,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/26/15,21.77,6657,3.270241851,17,1.280588235,0.002553703,1,21.77,0.058823529,35-44,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/26/15,28.04,8615,3.25478816,14,2.002857143,0.001625073,0,0,0,25-34,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/26/15,0.04,14,2.857142857,0,0,0,0,0,0,45-54,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/26/15,0.2,56,3.571428571,0,0,0,0,0,0,25-34,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/26/15,0.08,23,3.47826087,0,0,0,0,0,0,35-44,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/26/15,6.16,1875,3.285333333,4,1.54,0.002133333,0,0,0,45-54,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/26/15,1.98,618,3.203883495,2,0.99,0.003236246,0,0,0,55-64,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/26/15,2.09,90,23.22222222,0,0,0,0,0,0,45-54,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/26/15,1.31,37,35.40540541,1,1.31,0.027027027,0,0,0,55-64,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/26/15,2.24,123,18.21138211,1,2.24,0.008130081,0,0,0,35-44,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/26/15,3.44,209,16.45933014,0,0,0,0,0,0,25-34,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/26/15,2.32,730,3.178082192,1,2.32,0.001369863,0,0,0,65+,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/26/15,1.38,78,17.69230769,0,0,0,0,0,0,18-24,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/26/15,0.16,49,3.265306122,0,0,0,0,0,0,18-24,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/26/15,7.85,1684,4.66152019,0,0,0,0,0,0,45-54,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/26/15,29.85,8343,3.577849694,20,1.4925,0.002397219,0,0,0,25-34,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/26/15,25.64,7201,3.560616581,14,1.831428571,0.001944174,0,0,0,35-44,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/26/15,8.07,2285,3.531728665,5,1.614,0.002188184,0,0,0,18-24,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/26/15,0,3,0,0,0,0,0,0,0,45-54,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/26/15,0.12,41,2.926829268,0,0,0,0,0,0,25-34,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/26/15,0.03,14,2.142857143,0,0,0,0,0,0,35-44,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
6/26/15,7.91,2210,3.57918552,6,1.318333333,0.002714932,0,0,0,45-54,M,tNUS3-LAL-1,CoreV4,Title5,cpm,NFM
6/26/15,11.04,2221,4.970733904,2,5.52,0.000900495,0,0,0,18-24,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/26/15,33.9,7295,4.647018506,0,0,0,1,33.9,0,25-34,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/26/15,16.05,3461,4.637388038,1,16.05,0.000288934,0,0,0,35-44,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/26/15,13.82,3010,4.591362126,0,0,0,0,0,0,18-24,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/26/15,9,1774,5.073280722,0,0,0,0,0,0,45-54,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/26/15,31.2,6198,5.033881897,3,10.4,0.000484027,0,0,0,25-34,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/26/15,17.81,3560,5.002808989,0,0,0,0,0,0,35-44,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/26/15,10.61,3314,3.201569101,10,1.061,0.003017502,0,0,0,18-24,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/25/15,13.5,2631,5.131128848,1,13.5,0.000380084,0,0,0,18-24,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/25/15,12.92,2495,5.178356713,2,6.46,0.000801603,1,12.92,0.5,45-54,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/25/15,0.15,44,3.409090909,0,0,0,0,0,0,18-24,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/25/15,0.14,41,3.414634146,0,0,0,0,0,0,25-34,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/25/15,0.1,27,3.703703704,0,0,0,0,0,0,35-44,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/25/15,0.12,8,15,0,0,0,0,0,0,65+,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/25/15,42.98,8599,4.998255611,1,42.98,0.000116293,0,0,0,25-34,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/25/15,36.63,7191,5.093867334,1,36.63,0.000139063,0,0,0,25-34,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/25/15,21.64,4250,5.091764706,0,0,0,0,0,0,35-44,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/25/15,11.36,2191,5.184847102,0,0,0,0,0,0,45-54,M,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/25/15,20.36,4111,4.952566286,1,20.36,0.00024325,0,0,0,18-24,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/25/15,0.06,15,4,0,0,0,0,0,0,45-54,M,FirstEvent-LAL-1,Old06,Title1,cpm,NFD
6/25/15,14.19,4084,3.47453477,8,1.77375,0.001958864,0,0,0,18-24,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/25/15,0.89,38,23.42105263,0,0,0,0,0,0,25-34,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/25/15,0.63,28,22.5,0,0,0,0,0,0,35-44,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/25/15,0.62,22,28.18181818,0,0,0,0,0,0,45-54,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/25/15,0.5,15,33.33333333,0,0,0,0,0,0,55-64,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/25/15,0.26,17,15.29411765,0,0,0,0,0,0,18-24,W,FirstEvent-LAL-1,Laughing,Title5,oCPM,NFD
6/25/15,3.24,924,3.506493506,2,1.62,0.002164502,0,0,0,65+,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/25/15,39.83,10968,3.631473377,26,1.531923077,0.002370532,0,0,0,25-34,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/25/15,34.84,9595,3.631057843,27,1.29037037,0.002813966,1,34.84,0.037037037,35-44,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/25/15,10.91,2947,3.702069902,8,1.36375,0.002714625,0,0,0,45-54,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/25/15,3.74,1031,3.627546072,3,1.246666667,0.002909796,0,0,0,55-64,M,tNUS4-LAL-1,Old16,Title5,cpm,NFM
6/25/15,25.31,4966,5.096657269,0,0,0,0,0,0,35-44,W,FirstEvent-LAL-1,CoreV4,Title5,cpm,NFD
6/25/15,0,4,0,0,0,0,0,0,0,45-54,W,FirstEvent-LAL-1,Old16,Title5,cpm,NFM
